tagNumber,name,type,sex,dateOfBirth,breedingMethod,sireTag,damTag,herdName,organic
*Rosa,"Due 7/12/26, by AI Credits JP",dairy,female,2019-08-18,ai,Oliver P,Roma,wet,false
*Olga,"Jersey- A1 - Due 3/4/26, by Hercules confirmed by preg check",dairy,female,2018-08-19,live-cover,Arnold,Olive,wet,false
*Josephina,"Jersey-129 A1 - Due 4/14/26, by Hercules",dairy,female,2017-09-15,live-cover,"Roberto/
Bernard",Jade,wet,false
*Bombay,"Jersey A1 - Due 5/13/26, by Hercules",dairy,female,2018-09-07,live-cover,Arnold/Sam?,Bambi,wet,false
*Orina,"Jersey A1 - Due 8/3/26, by AI by ""beef""",dairy,female,2020-02-05,ai,Shaggy-P,Oleah,wet,false
*Quesa,"Jersey A1 - Due 5/4/26, by Hercules",dairy,female,2019-12-09,live-cover,Oliver P,Quince,wet,false
*Italy,"Due 5/13/26, by Hercules bull was sick may not be bred.",dairy,female,2019-07-01,live-cover,,Bansen-21,wet,false
*Persia,"Due 8/24/26, by AI Credits JP",dairy,female,2019-01-01,ai,Bansen,Bansen,wet,false
*Olive,"Jersey-140 -A1 - Due 7/3/26 Credits, A2/A2 Polled sexed semen for femaile",dairy,female,2014-03-11,ai,Julius,Ophelia,wet,false
*Lilac A2/A2,"Jersey - Due 7/24/26, by AI by ""BEEF""",dairy,female,2022-09-09,ai,Domino,Olga,wet,false
*Nutmeg,Jersey- A1,dairy,female,2018-06-03,,Arnold,Butter,wet,false
*Blue,2103 Jersey-A2/A2,dairy,female,2021-01-17,,Domino,Bombay,wet,false
*Sheila,Jersey A2/A2,dairy,female,2016-12-23,,Bansen,Bansen,wet,false
*Halo,Jersey-A2/A2,dairy,female,2021-01-02,,Domino,Heidi,wet,false
*Hypatia,"Jersey w/ white marks - Due beginning 12/6/25- 6/10/26By ""bull herd""",dairy,female,2022-04-14,live-cover,Ivano,Heidi,wet,false
*Opal,Jersey brown tip on tail,dairy,female,2025-07-30,,Hercules/Iago,*Orina,wet,false
*Nitza,"""bud"" nuring Nutmeg",dairy,female,2025-08-18,,Hercules/Iago,*Nutmeg,wet,false
*Blanca,,dairy,female,2025-09-03,,Hercules,*Blue,wet,false
2553,White and brown - Calf looks like a gallowayX,beef,male,2025-10-22,,BULl MIX,*Sheila,wet,false
*Hiya,Dark Brown w/dark brown tips - Dark Brown w/dark brown tips prob a Galloway Cross,dairy,female,2025-10-18,,BULl MIX,*Halo,wet,false
*Maude,"Jersey  A2/A2 3Q - Due 8/24/26 by AI Credits
10/1/25 Nursing Mulberry, 2552, & 2550",dairy,female,2016-09-27,ai,Bansen,Bansen,nurse,false
*Parma,Jersey A2/A2 nursing 2501 - Due 5/10/26- ????? by Hercules (sick),dairy,female,2017-04-18,live-cover,Bansen,Bansen,nurse,false
*Osiria,Jersey-128 A1 - Due 5/31/26- by Hercules ( Bull wa ill may not be bred),dairy,female,2017-04-28,live-cover,"Roberto/
Bernard",Ophelia,nurse,false
*Hibiscus,"Jersey-Needs horn trim NT - Due 8/3/26, by AI ""BEEF""",dairy,female,2017-09-12,ai,Juicy,*H. Penni,nurse,false
*Bea,Jersey - Due 5/15/26-???? By Hercules potential hernia,dairy,female,2017-12-17,live-cover,Arny/Sam,Bella,nurse,false
*Belen,"JerseyX-A2/A2 - Due 5/15/26-???? By Hercules
Nursing 2545",dairy,female,2018-10-24,live-cover,Arnold/Sam?,Bella,nurse,false
*Catalan,Jeresy A2/A2 AKA Café,dairy,female,2019-07-21,,Solaris 190X31,Bansen-21,nurse,false
*Mirtha,Jersey A2/A2 - Due 5/31/26 by 2450 observed,dairy,female,2020-04-09,,Avon-Kay-P,Matilda,nurse,false
*Jasmine,Jersey A2/A2 - Bursing 2533 * 2534,dairy,female,2020-06-01,,I Man?,Jade,nurse,false
*Lady McB,Jersey- A1 - Due 4/7/26-???? By Hercules,dairy,female,2021-02-04,live-cover,I. Man,Osiria,nurse,false
*Lavender,Jersey - Due 4/25/26???? by Hercules,dairy,female,2022-05-26,live-cover,Ivano,Oleah,nurse,false
*Josie,Jersey,dairy,female,2022-10-05,,Domino,Jade,nurse,false
*Caulifower,Jersey-Horns white band on all 4 legs - Due 8/24/26 by AI Credits JP,dairy,female,2023-03-31,ai,Domino,Catalan,nurse,false
*Jenni A2/A2,"Jersey-Polled - Due 7/13/26 by AI ""Beef""",dairy,female,2023-03-08,ai,2033/2031/2102,Jasmine,nurse,false
*Hawthorn,"Jersey-Polled - Due 7/13/26 by AI ""BEEF""",dairy,female,2023-04-14,ai,Ivano,Hiedi,nurse,false
*Hanalei,Jersey,dairy,female,2023-04-03,,Ivano,Hibiscus,nurse,false
*Quartz,"Jersey - Due 7/12/26 by AI ""BEEF""",dairy,female,2023-05-08,ai,Ivano,Quesa,nurse,false
*Lyric,Jersey- Horns - Due 4/25/26-???? By Hercules,dairy,female,2023-06-07,live-cover,Ivano,Olivia,nurse,false
*Sage,Jersey Polled Cresent Moon on forehead - Due 2/14/26-???? by Hercules,dairy,female,2023-06-14,live-cover,???,Silk,nurse,false
*Ingrid,Jersey white heart on forehead - Due4/25/26???? by Hercules,dairy,female,2023-08-28,live-cover,Ivano,Ivory,nurse,false
*Bisou,Jersey white tip on tail - Due 2/14/26-???? by Hercules,dairy,female,2023-08-07,live-cover,Ivano,Blue,nurse,false
*Heather,Jersey - Due 2/14/26-???? by Hercules,dairy,female,2023-08-06,live-cover,Ivano,Halo,nurse,false
2401,"10/21/25 Brought to jusre herd, out of condition",beef,male,2024-01-03,,Ivano,Lady McB,nurse,false
*Qui Mei,Darker Jersey - 4/25/26-??? By Hercules,dairy,female,2024-01-26,live-cover,Ivano,Quan Yin,nurse,false
*NO TAG,Jersey Heifer - We do not know the exact DOB or who this is,dairy,female,2024-03-01,,?,?,nurse,false
*Hoppscotch,Jersey- Mocha brown w/ black tip tail - Due8/24/26 by AI Angus Compound,dairy,female,2024-04-08,ai,Ivano,Heidi,nurse,false
*Joya,Jersey Redish/Brown - Due8/24/26 by AI Angus Compound,dairy,female,2024-04-02,ai,Ivano,Jade,nurse,false
*Jicama,Jersey - Due8/24/26 by AI Angus Compound,dairy,female,2024-04-19,ai,Ivano,Josie,nurse,false
2442,Jersey,beef,male,2024-05-28,,`Ivano,Quesa,nurse,false
2448,Jersey,beef,male,2024-07-09,,Ivano,Orina,nurse,false
2452,Nursing on Hypatia,beef,male,2024-10-02,,"Hercules/
Iago",Sirena,nurse,false
*Luna,Nursing on Hypatia,dairy,female,2024-10-16,,Ivano/Hercules,Olive,nurse,false
2453,,beef,male,2024-10-05,,Ivano/Hercules,Lavender,nurse,false
*Hazel,NO TAG,dairy,female,2024-11-27,,Ivano/Hercules,Halo,nurse,false
2501,Nursing on para,beef,male,2025-03-05,,Ivano/Hercules,Rosa,nurse,false
*Otter,Weird vulva & 6 tets/Nursing on  Hazelnut,dairy,female,2025-03-05,,Hercules,Olga,nurse,false
*Barbie,7/2/25 Nursing on Maude & other moms Jersey Twin w Barbie,dairy,female,2025-05-19,,Hercules/Iago,*Bombay,nurse,false
2533,Nursing on Jasmine,beef,male,2025-05-03,,Ivano/Hercules,*Josaphina,nurse,false
2534,Nursing on Jasmine,beef,male,2025-05-03,,Ivano/Hercules,Rosa,nurse,false
*Happy,Nursing on Hanalei,dairy,female,2025-05-29,,Hercules,*Hanalei,nurse,false
2541,Jersey,beef,male,2025-05-16,,Hercules/Iago,*Josie,nurse,false
*Pepper,Jersey dark brown - Graphted to Shiela,dairy,female,2025-06-02,,2137,*Persia,nurse,false
*Inez,Jersey - Graphted to Bea,dairy,female,2025-06-10,,Ivano,*Italy,nurse,false
2545,Jersey - 7/2/25 graphted to Belen,beef,male,2025-06-05,,Hercules/Iago,*Quesa,nurse,false
*Basil,Jersy - Graphted on Bea,dairy,female,2025-06-11,,Hercules/Iago,*Bea,nurse,false
2548,Jersey,beef,male,2025-06-04,,Hercules/Iago,*Osiria,nurse,false
2549,Jersey nursing Maude & Hibiscus,beef,male,2025-07-11,,Hercules/Iago,*Ivy,nurse,false
*Cali,Jersey - Nursing on Catalin,dairy,female,2025-07-11,,Hercules/Iago,*Catalan,nurse,false
2550,,beef,male,2025-07-18,,Hercules/.Iago,*Imogen,nurse,false
2551,Jersey Nursing on Hibiscus,beef,female,2025-08-22,,Iago,*Hibiscus,nurse,false
2552,nursing on Maude,beef,male,2025-09-04,,Hercules,*Olivia,nurse,false
*Mulberry,Jersey Nursing on Maude,dairy,female,2025-09-17,,Chamrock CRV Bansen,*Maude,nurse,false
2427,Hereford/Galloway - rejected by mom2017 nursing on Belen,beef,female,2024-04-24,,Everest,2017,finish,true
2406,White w/ black tips,beef,female,2024-04-13,,Everest,1813,finish,true
2408,White w. Black tips,beef,male,2024-04-13,,Everest,i99,finish,true
2409,Black- could not nurse off Mama 1805,beef,male,2024-04-13,,Everest,1805,finish,true
2410,Black,beef,male,2024-04-15,,Everest,1905,finish,true
2412,White w/ Brown tips,beef,female,2024-04-16,,Everest,1810,finish,true
